year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
1997,Tremain Mack,Miami (FL),SS,71.90,200,4.54,,35.0,123,4.19,
1997,Chad Mackey,Louisiana Tech,WR,72.90,205,4.68,,34.0,115,3.99,
1997,Sam Madison,Louisville,CB,71.10,181,4.61,8,36.5,119,4.16,
1997,Kris Mangum,Mississippi,TE,76.50,249,4.92,27,32.0,112,4.29,
1997,Brian Manning,Stanford,WR,71.10,181,4.59,,34.5,120,4.12,
1997,Roderick Manuel,Oklahoma,DE,77.60,281,5.09,7,28.5,102,4.59,
1997,Jason Martin,Louisiana Tech,QB,74.40,234,5.01,,29.0,101,4.47,
1997,Derrick Mason,Michigan State,WR,70.80,193,4.55,,32.0,113,4.46,
1997,Brad Maynard,Ball State (IN),P,73.10,184,,,,,,
1997,Dexter Mccleon,Clemson,CB,70.40,198,4.53,14,35.0,117,4.14,
1997,Tyrus Mccloud,Louisville,ILB,73.60,251,5.02,35,,110,,
1997,Tony Mccombs,Eastern Kentucky,ILB,74.10,240,4.75,20,34.0,,,
1997,George Mccullough,Baylor,CB,70.00,187,4.50,8,36.5,114,4.07,
1997,Tim Mctyer,Brigham Young,CB,71.00,181,4.58,7,31.0,108,4.35,
1997,Adam Meadows,Georgia,OT,76.90,297,5.04,,30.0,107,4.47,
1997,Frank Middleton,Arizona,OG,75.30,324,5.21,22,27.0,106,4.85,
1997,Itula Mili,Brigham Young,TE,75.90,262,,16,,,,
1997,Brian Miller,Penn State,CB,69.40,191,,14,,,,
1997,Chris Miller,Southern California,WR,70.10,192,4.58,,31.5,115,4.32,
1997,Mike Minter,Nebraska,FS,70.10,188,4.50,11,36.0,122,4.00,
1997,Brandon Mitchell,Texas A&M,DE,74.90,289,4.92,16,32.5,115,4.36,
1997,Jeff Mitchell,Florida,C,76.30,307,,33,,,,
1997,Keith Mitchell,Texas A&M,OLB,74.50,240,4.73,22,35.5,,,
1997,Shon Mitchell,Texas,RB,70.40,194,4.62,,31.0,120,4.17,
1997,Delmonico Montgomery,Houston,CB,71.50,189,4.61,,32.5,112,4.09,
1997,Pete Monty,Wisconsin,ILB,73.90,253,4.84,26,32.5,109,4.29,
1997,Larry Moore,Brigham Young,OG,74.60,292,5.52,21,27.5,105,4.84,
1997,Beau Morgan,Air Force,RB,70.10,192,4.61,,36.5,125,3.97,
1997,Chris Naeole,Colorado,OG,75.00,313,,,,,,
1997,Jamie Nails,Florida A&M,OT,78.10,387,5.77,37,21.5,93,5.40,
1997,Ray Nealy,Arkansas-Pine Bluff,RB,71.50,219,4.61,9,34.5,114,4.48,
1997,Dan Neil,Texas,OG,74.40,291,,25,,,,
1997,Brian Newnam,Tulsa (OK),OG,75.40,291,5.35,31,29.0,109,4.75,
1997,Brad Otton,Southern California,QB,78.10,224,5.00,,31.5,112,4.39,
