player,college,position,height,weight,40yd,vertical,bench reps,broad jump,cone,shuttle
Darien Porter,Iowa St.,CB,6-3,195,4.30,36.5,,131,6.71,4.04
Tyreem Powell,Rutgers,LB,6-5,239,,,,,,
Antwaun Powell-Ryland,Virginia Tech,EDGE,6-3,258,4.69,36.5,,124,,
Kaden Prather,Maryland,WR,6-4,204,4.46,30.0,,114,,
Caleb Ransaw,Tulane,CB,5-11,197,4.33,40.0,16,129,,
Lathan Ransom,Ohio St.,SAF,6-0,206,,,,,,
Tate Ratledge,Georgia,G,6-7,308,4.97,32.0,,113,7.38,
Jaylen Reed,Penn St.,SAF,6-0,211,4.49,33.5,19,,,
Karene Reid,Utah,LB,6-0,231,,,,,,
Xavier Restrepo,Miami,WR,5-10,209,,,17,,,
Quincy Riley,Louisville,CB,5-11,194,4.48,,,,,
Jahvaree Ritzie,North Carolina,DT,6-4,294,,35.5,26,114,,
Jalen Rivers,Miami,OT,6-6,319,5.29,,,108,,
Elijah Roberts,SMU,EDGE,6-4,285,4.78,31.5,,116,,
Que Robinson,Alabama,EDGE,6-4,243,,,,,,
Ty Robinson,Nebraska,DT,6-5,288,4.83,33.5,28,119,7.58,4.50
Caleb Rogers,Texas Tech,G,6-5,312,5.10,34.0,,111,7.43,4.49
Kurtis Rourke,Indiana,QB,6-4,220,,,,,,
Jalen Royals,Utah St.,WR,6-0,205,4.42,,13,,,
Kaimon Rucker,North Carolina,EDGE,6-1,254,,,27,,,
Dylan Sampson,Tennessee,RB,5-8,200,,35.0,13,124,,
Raheim Sanders,South Carolina,RB,6-0,217,4.46,36.5,,,,
Shedeur Sanders,Colorado,QB,6-2,212,,,,,,
T.J. Sanders,South Carolina,DT,6-4,297,,31.5,,112,7.70,4.67
Jonas Sanker,Virginia,SAF,6-0,206,4.48,36.5,12,128,,
Ben Sauls,Pittsburgh,K,5-10,182,,,,,,
Jonah Savaiinaea,Arizona,OT,6-4,324,4.95,29.0,,106,,4.66
Jack Sawyer,Ohio St.,EDGE,6-4,260,,,,,,
Carson Schwesinger,UCLA,LB,6-3,242,,39.5,20,,,
Nic Scourton,Texas A&M,EDGE,6-3,257,,,,,,
Tyler Shough,Louisville,QB,6-5,219,4.63,32.0,,117,,
Marques Sigle,Kansas St.,SAF,5-11,199,4.37,38.0,,130,,
Elijah Simmons,Tennessee,DT,6-1,334,5.37,32.0,,106,,
Josh Simmons,Ohio St.,OT,6-5,317,,,,,,
Joshua Simon,South Carolina,TE,6-4,239,4.65,38.0,,124,7.22,4.40
Cody Simon,Ohio St.,LB,6-2,229,,,,,,
Cam Skattebo,Arizona St.,RB,5-10,219,,39.5,,123,,
Jackson Slater,Sacramento St.,G,6-3,311,5.01,28.5,,108,,
Tim Smith,Alabama,DT,6-4,302,,,,,,
Arian Smith,Georgia,WR,6-0,179,4.36,38.0,,127,6.82,4.19
Brashard Smith,SMU,RB,5-10,194,4.39,32.5,,117,,
Jaylin Smith,USC,CB,5-11,187,4.45,32.5,,122,,
Barryn Sorrell,Texas,EDGE,6-3,256,4.68,34.0,28,121,7.06,4.36
Nazir Stackhouse,Georgia,DT,6-4,327,5.15,27.5,,105,,
Malaki Starks,Georgia,SAF,6-1,197,4.50,33.0,,,7.26,4.45
Josaiah Stewart,Michigan,EDGE,6-1,249,,,,,,
Shemar Stewart,Texas A&M,EDGE,6-5,267,4.59,40.0,,131,,
Upton Stout,Western Kentucky,CB,5-9,181,4.44,37.5,21,128,,4.29
Dorian Strong,Virginia Tech,CB,6-1,185,4.50,36.0,15,116,,
Danny Stutsman,Oklahoma,LB,6-3,233,4.52,34.0,,,,
